Sr No,Name,Price,Brand,Model,Energy Efficiency,Capacity,Annual Energy Consumption,Noise Level,Installation Type,Special Features,Colour,Control Console,Voltage,Material,Included Components,Batteries Included,Batteries Required,Battery Cell Type,Manufacturer,Country of Origin,Link
73,"TCL Elite iECO 1.5 ton 5 Star AI Ultra-Inverter wi-fi enabled Split AC (Copper, TAC-18CSD/V5S, White, Smart Connectivity)","₹ 34,990.00","TCL","TAC-18CSD/V5S","5 Star Rating","1.5 Tons","841 Kilowatt Hours Per Year","45 dB","Split System",,"White","Remote Control","230 Volts","Plastic","Included in the box: 1 Indoor unit, 1 outdoor unit, inter Connecting pipe, 1 remote, 1 Manual, 1 Warranty card, 2 batteries, Set Installation Plates and Screws","Yes","Yes","Zinc Carbon","TCL","China","https://amazon.in/TCL-Ultra-Inverter-TAC-18CSD-V5S-Connectivity/dp/B083STPV8L/ref=sr_1_36?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-36"
71,"Blue Star 1.5 Ton 3 Star Split AC (Copper, 2018 Model, FS318AATX, White)","₹ 30,990.00","Blue Star","FS318AATX","3 Star Rating","1.5 Tons","1076.01 Kilowatt Hours","47 dB","Split System","Auto Restart with Memory:Ensure the AC remember the last set mode of the user, and automatically resume functioning with the same pre-set mode, making it more user friendly and convenient, during power cuts, 2 Way Auto Swing:Ensure comfortable air flow across the room, Hidden Display:Ensure un-interrupted sleep during the night, without any light display on the AC, Self Clean Technology:Ensure clean air; Prohibits the accumulation of any moisture, dust or mold within the indoor unit, Comfort Sleep:Intelligently senses variation in indoor temperature and adjusts the same automatically, to keep you comfortable through the night, Long life MCHX Condenser Coil:Backed with 1 plus 4 years additional warranty, the Long life Micro Channel Heat Exchanger provides improved heat transfer and excellent cooling performance, IFeel:Ensure the desired comfort around you, with our in-built sensor in the remote, Anti Corrosive Gold Fins for Protection:Ensure AC do not form any water or dust deposits, delivering unhindered cooling performance and enhanced durability, Self Diagnosis:Alert the user about any fault in the AC operation immediately, through error display; you can report to Blue Star authorised customer care center for quick resolution","White","Remote Control","230 Volts","Plastic","1N Outdoor Unit- W X H X D : 858 X 536 X 327 mm , Weight: 37 Kg|| 1N Indoor Unit- W X H X D: 965 X 319 X 215 mm , Weight: 12 kg|| 1N Remote|| 1N Manual|| 1N Installation Kit||1 Warranty Card","Yes","Yes","Alkaline","Blue Star Limited","India","https://amazon.in/Blue-Star-Split-FS318AATX-White/dp/B07P96MZXC/ref=sr_1_37_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-37-spons&psc=1"
36,"LG 1.5 Ton 4 Star Inverter Split AC (Copper, LS-Q18YNYA, Convertible 4-in-1 Cooling, White)","₹ 37,990.00","LG","LS-Q18YNYA","4 Star Rating","1.5 Tons","920.82 Kilowatt Hours","31 dB","Split System","Inverter,dust_filter,antibacterial_coating,dehumidifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 1 Manuals, 1 Warranty Card, 2 Batteries, Inter connecting wire","Yes","No","Zinc Carbon","LG Electronics","India","https://amazon.in/LG-Inverter-LS-Q18YNYA-Convertible-Cooling/dp/B082TG6BGN/ref=sr_1_38_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-38-spons&psc=1"
61,"Sanyo 1.5 Ton 3 Star Dual Inverter Split AC (Copper, PM 2.5 Filter, 2020 Model, SI/SO-15T3SCIC White)","₹ 27,990.00","Sanyo","SI/SO-15T3SCIC","3 Star","1.5 Tons","1050.21 Kilowatt Hours","43 dB","Split System","Inverter, Dust_filter, PM 2.5 Filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit 1 Outdoor Unit 2 Piping Assembly 1 Remote 2 AAA Batteries 1 Indoor to Outdoor Power Supply Cord 1 Indoor to Main Power Supply Cord 1 Assembly Manual 1 Warranty Card","Yes","Yes","Zinc Carbon","Panasonic","India","https://amazon.in/Sanyo-Inverter-Copper-SI-SO-15T3SCIC/dp/B084WCFN9P/ref=sr_1_33_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-33-spons&psc=1"
54,"LG 1.5 Ton 4 Star Inverter Split AC (Copper, MS-Q18HNYA, Super Convertible 5-in-1, Anti-Virus Protection, White)","₹ 37,990.00","LG","MS-Q18HNYA",,"1.5 Tons","920.82 Kilowatt Hours","31 dB","Split System","Dust Filter, Dehumidifier, Anti-bacterial Filter","White",,"230 Volts",,"1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 2 Manuals with Warranty Card, 2 Batteries","Yes","No","Lithium Manganese Dioxide","LG","India","https://amazon.in/LG-MS-Q18HNYA-Convertible-Anti-Virus-Protection/dp/B08R93PZK5/ref=sr_1_34_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-34-spons&psc=1"
34,"Godrej 1.5 Ton 2 Star Hot & Cold Split AC (Copper, Anti Bacterial Filter, 2019 Model, GSH 18LTC2-WSA Split White)","₹ 32,490.00","Godrej","GSH 18LTC2-WSA Split","2 Star","1.5 Tons","1168.9 Kilowatt Hours","38 dB","Split System","Inverter, Antibacterial_coating, Heater, Dust_filter, Dehumidifier","White","Remote Control","230 Volts","Stainless-Steel","1 Indoor Unit,1 Outdoor Unit, Remote Control, User manual, Warranty Card,Connecting Pipes","Yes","Yes","Zinc Carbon","Godrej & Boyce Mfg Co Ltd","India","https://amazon.in/Godrej-Split-Copper-GSH-18LTC2-WSA/dp/B083NYQTWM/ref=sr_1_35?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-35"
45,"TCL Elite iECO 1.5 ton 5 Star AI Ultra-Inverter wi-fi enabled Split AC (Copper, TAC-18CSD/V5S, White, Smart Connectivity)","₹ 34,990.00","TCL","TAC-18CSD/V5S","5 Star Rating","1.5 Tons","841 Kilowatt Hours Per Year","45 dB","Split System",,"White","Remote Control","230 Volts","Plastic","Included in the box: 1 Indoor unit, 1 outdoor unit, inter Connecting pipe, 1 remote, 1 Manual, 1 Warranty card, 2 batteries, Set Installation Plates and Screws","Yes","Yes","Zinc Carbon","TCL","China","https://amazon.in/TCL-Ultra-Inverter-TAC-18CSD-V5S-Connectivity/dp/B083STPV8L/ref=sr_1_36?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-36"
38,"Voltas 1.5 Ton 3 Star Split AC (Copper 183DZZ (R32) White)","₹ 29,890.00","Voltas","183DZZ (R32)","3 Star","1.5 Tons","1128.65 Kilowatt Hours","43 dB","Split System","Antibacterial_coating, Dust_filter","White","Remote Control","230 Volts","Plastic","1 indoor Unit, 1 Outdoor Unit, Remote, Manual, Warranty Card, 1 Connecting Pipe, 1 Connecting Cable","No","No","Alkaline","Universal Comfort Products Ltd",,"https://amazon.in/Voltas-Split-Copper-183DZZ-R32/dp/B07SGPNK7V/ref=sr_1_37?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-37"
28,"LG 1.5 Ton 5 Star Inverter Split AC (Copper KS-Q18FNZD Floral White)","₹ 41,750.00","LG","KS-Q18FNZD","5 Star Rating","1.5 Tons",,"31 dB","Split System","Inverter,dust_filter,Micro Dust Protection Filter(3M),dehumidifier, 4 Way swing","Floral White","Remote Control","230 Volts","Plastic","1 Indoor unit, 1 outdoor unit, inter Connecting pipe, 1 remote, 1 Manual, 1 Warranty card, 2 batteries, inter Connecting wire","Yes","Yes","Zinc Carbon","LG Electronics India Pvt. Ltd.",,"https://amazon.in/LG-Inverter-Copper-KS-Q18FNZD-Floral/dp/B07M5GMSGX/ref=sr_1_38?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-38"
39,"Blue Star 1.5 Ton 5 Star Window AC (Copper 5W18GBT White)","₹ 27,990.00","Blue Star","5W18GBT","5 Star Rating","1.5 Tons","1161.16 Kilowatt Hours","50 dB","Window","Auto Restart with Memory:Ensure the AC remember the last set mode of the user, and automatically resume functioning with the same pre-set mode, making it more user friendly and convenient, during power cuts, R32 Eco-Friendly Refrigerant:Enables the AC to deliver High Performance cooling with Great Energy Efficiency while having Zero Ozone depleting properties and Very Low Global Warming Potential (GWP), High Energy Efficiency Rotary Compressor:Designed to enhance cooling performance at low energy consumption levels, increasing AC efficiency, Metal Enclosure for PCB:Protect AC, acting as fire resistance; shield the electrical components of the PCB circuit from any kind of heat damage or fire, Anti Freeze Thermostat:Protect AC system from freezing, providing extra durability and stability, Comfort Sleep:Intelligently senses variation in indoor temperature and adjusts the same automatically, to keep you comfortable through the night, Hydrophilic Blue Fins for Protection:Ensure AC do not form any water or dust deposits, delivering unhindered cooling performance and enhanced durability, 4 Cooling Modes:Programmed mode, for comfort cooling during different ambient conditions, Self Diagnosis:Alert the user about any fault in the AC operation immediately, through error display; you can report to Blue Star authorised customer care center for quick resolution","White","Remote Control","230 Volts","Plastic","1N Indoor Unit- W X H X D : 660 x 430 x 770 mm , Weight: 60 Kg|| 1N Remote|| 2N Battery|| 1N Manual|| 1N Installation Kit||1 Warranty Card","No","No","Alkaline","Blue Star Limited","India","https://amazon.in/Blue-Star-Window-Copper-5W18GBT/dp/B07VQJKLGS/ref=sr_1_39?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-39"
